Key,English
PATROL_DESTINATION_000002,Darkon 1: Erons Factory II
PATROL_DESTINATION_000003,Iblis Temple
PATROL_DESTINATION_000004,Thieves of the Leren Mountains
PATROL_DESTINATION_000005,Base Camp of the Thieves
PATROL_DESTINATION_000006,Mars Dungeon
PATROL_DESTINATION_000007,Altar of Violet
PATROL_DESTINATION_000008,Depths of the Dorian
PATROL_DESTINATION_000009,Lair of the Okean
PATROL_DESTINATION_000010,Date Location
PATROL_DESTINATION_000011,Strange Entrance
PATROL_DESTINATION_000012,The Lost Treasure of Herneos
PATROL_DESTINATION_000013,Kaillun Forest
PATROL_DESTINATION_000014,Ankou Asylum
